goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
44408,"7000000000","80","GLASS AND GLASSWARE"
44409,"7001000000","80","Cullet and other waste and scrap of glass; glass in the mass"
44410,"7001001000","80","Cullet and other waste and scrap of glass"
44411,"7001009100","10","Glass in the mass"
44412,"7001009100","80","Optical glass"
44413,"7001009900","80","Other"
44414,"7002000000","80","Glass in balls (other than microspheres of heading 7018) rods or tubes unworked"
44415,"7002100000","80","Balls"
44416,"7002200000","80","Rods"
44417,"7002201000","80","Of optical glass"
44418,"7002209000","80","Other"
44419,"7002310000","10","Tubes"
44420,"7002310000","80","Of fused quartz or other fused silica"
44421,"7002320000","80","Of other glass having a linear coefficient of expansion not exceeding 5 !x! 10$-$6 per Kelvin within a temperature range of 0 °C to 300 °C"
44422,"7002390000","80","Other"
44423,"7003000000","80","Cast glass and rolled glass in sheets or profiles whether or not having an absorbent reflecting or non-reflecting layer but not otherwise worked"
59956,"7003120000","10","Non-wired sheets"
59957,"7003120000","80","Coloured throughout the mass (body tinted) opacified flashed or having an absorbent reflecting or non-reflecting layer"
59958,"7003121000","80","Of optical glass"
59959,"7003129100","10","Other"
59960,"7003129100","80","Having a non-reflecting layer"
59961,"7003129900","80","Other"
44428,"7003190000","80","Other"
44429,"7003191000","80","Of optical glass"
44430,"7003199000","80","Other"
44431,"7003200000","80","Wired sheets"
44434,"7003300000","80","Profiles"
44435,"7004000000","80","Drawn glass and blown glass in sheets whether or not having an absorbent reflecting or non-reflecting layer but not otherwise worked"
59962,"7004200000","80","Glass coloured throughout the mass (body tinted) opacified flashed or having an absorbent reflecting or non-reflecting layer"
59963,"7004201000","80","Optical glass"
59964,"7004209100","10","Other"
59965,"7004209100","80","Having a non-reflecting layer"
59966,"7004209900","80","Other"
44441,"7004900000","80","Other glass"
44442,"7004901000","80","Optical glass"
90319,"7004908000","80","Other"
44450,"7005000000","80","Float glass and surface ground or polished glass in sheets whether or not having an absorbent reflecting or non-reflecting layer but not otherwise worked"
44451,"7005100000","80","Non-wired glass having an absorbent reflecting or non-reflecting layer"
59967,"7005100500","80","Having a non-reflecting layer"
59968,"7005102500","10","Other of a thickness"
59969,"7005102500","80","Not exceeding 35 mm"
59970,"7005103000","80","Exceeding 35 mm but not exceeding 45 mm"
59971,"7005108000","80","Exceeding 45 mm"
44460,"7005210000","10","Other non-wired glass"
44461,"7005210000","80","Coloured throughout the mass (body tinted) opacified flashed or merely surface ground"
59972,"7005212500","80","Of a thickness not exceeding 35 mm"
44464,"7005213000","80","Of a thickness exceeding 35 mm but not exceeding 45 mm"
59973,"7005218000","80","Of a thickness exceeding 45 mm"
44468,"7005290000","80","Other"
59974,"7005292500","80","Of a thickness not exceeding 35 mm"
44473,"7005293500","80","Of a thickness exceeding 35 mm but not exceeding 45 mm"
59975,"7005298000","80","Of a thickness exceeding 45 mm"
44477,"7005300000","80","Wired glass"
44478,"7006000000","80","Glass of heading 7003 7004 or 7005 bent edge-worked engraved drilled enamelled or otherwise worked but not framed or fitted with other materials"
44479,"7006001000","80","Optical glass"
44480,"7006009000","80","Other"
98592,"7006009025","80","Glass wafer made of borosilicate float glass -with a total thickness variation of 1 µm or less and -laser-engraved"
104658,"7006009040","80","Plates of sodalime or borosilicate glass of STN (Super Twisted Nematic) or TN (Twisted Nematic) quality having: - a length of 300 mm or more but not more than 1 500 mm - a width of 300 mm or more but not more than 1 500 mm - a thickness of 05 mm or more but not more than 11 mm - an indium-tin-oxide coating with a resistance of 80 Ohms or more but not more than 160 Ohms on one side - with or without a passivation layer of silicon dioxide (SiO2) between indium-tin-oxide layer and glass surface - with or without a multi layer anti-reflection-coating on the other side and - machined (chamfered) edges "
44486,"7006009090","80","Other"
44487,"7007000000","80","Safety glass consisting of toughened (tempered) or laminated glass"
44488,"7007110000","10","Toughened (tempered) safety glass"
