goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
44489,"7007110000","80","Of size and shape suitable for incorporation in vehicles aircraft spacecraft or vessels"
44490,"7007111000","80","Of size and shape suitable for incorporation in motor vehicles"
44491,"7007119000","80","Other"
44492,"7007190000","80","Other"
44493,"7007191000","80","Enamelled"
44494,"7007192000","80","Coloured throughout the mass (body tinted) opacified flashed or having an absorbent or reflecting layer"
44496,"7007198000","80","Other"
104081,"7007198012","10","Solar glass consisting of tempered soda-lime-flat-glass with an iron content of less than 300 ppm a solar transmittance of more than 88% (measured according to AM15 300-2500 nm) a resistance to heat up to 250° C (measured according to EN 12150) a resistance to thermal shocks of Δ 150 K (measured according to EN 12150) and having a mechanical strength of 90 N/mm 2 or more (measured according to EN 1288-3)"
104082,"7007198012","20","having no more than 4.5 mm of thickness"
104083,"7007198012","80","Uncoated"
104084,"7007198018","80","Single or double-side coated"
104085,"7007198080","10","Other"
104086,"7007198080","80","Uncoated"
104087,"7007198085","80","Single or double-side coated"
104088,"7007198095","80","Other"
44498,"7007210000","10","Laminated safety glass"
44499,"7007210000","80","Of size and shape suitable for incorporation in vehicles aircraft spacecraft or vessels"
83659,"7007212000","80","Of size and shape suitable for incorporation in motor vehicles"
83658,"7007218000","80","Other"
83656,"7007218010","80","Windshields not framed for use in civil aircraft"
83657,"7007218090","80","Other"
44504,"7007290000","80","Other"
44505,"7008000000","80","Multiple-walled insulating units of glass"
55103,"7008002000","80","Coloured throughout the mass (body tinted) opacified flashed or having an absorbent or reflecting layer"
44511,"7008008100","10","Other"
44512,"7008008100","80","Consisting of two panels of glass sealed around the edges by an airtight joint and separated by a layer of air other gases or a vacuum"
44513,"7008008900","80","Other"
44517,"7009000000","80","Glass mirrors whether or not framed including rear-view mirrors"
44518,"7009100000","80","Rear-view mirrors for vehicles"
99634,"7009100030","80","Layered glass with mechanical dimming ability by different angles of incident light comprising:   - whether or not a layer of chrome   - a break-resistance adhesive tape or hot-melt adhesive and   - a release film on the front side and protective paper at the back side of a kind used for interior rear-view mirrors of vehicles"
99928,"7009100040","80","Electrochromic self-dimming inside rear-view mirror consisting of:   - a mirror support   - a plastic casing and   - an integrated circuit for use in the manufacture of motor vehicles of Chapter 87"
100544,"7009100050","80","Unfinished electro-cromic auto-dimming mirror  for motor vehicle rear-view mirrors:   - whether or not equipped with plastic backing plate   - whether or not equipped with a heating element   - whether or not equipped with Blind Spot Module (BSM) display "
97646,"7009100090","80","Other"
44519,"7009910000","10","Other"
44520,"7009910000","80","Unframed"
44521,"7009920000","80","Framed"
44522,"7010000000","80","Carboys bottles flasks jars pots phials ampoules and other containers of glass of a kind used for the conveyance or packing of goods; preserving jars of glass; stoppers lids and other closures of glass"
44523,"7010100000","80","Ampoules"
59976,"7010200000","80","Stoppers lids and other closures"
74003,"7010900000","80","Other"
74004,"7010901000","80","Preserving jars (sterilising jars)"
74005,"7010902100","10","Other"
74006,"7010902100","80","Made from tubing of glass"
74007,"7010903100","10","Other of a nominal capacity of"
74008,"7010903100","80","25 l or more"
74009,"7010904100","10","Less than 25 l"
74010,"7010904100","20","For beverages and foodstuffs"
74011,"7010904100","30","Bottles"
74012,"7010904100","40","Of colourless glass of a nominal capacity of"
74013,"7010904100","80","1 l or more"
74014,"7010904300","80","More than 033 l but less than 1 l"
74015,"7010904500","80","015 l or more but not more than 033 l"
74020,"7010904700","80","Less than 015 l"
74021,"7010905100","10","Of coloured glass of a nominal capacity of"
74022,"7010905100","80","1 l or more"
74023,"7010905300","80","More than 033 l but less than 1 l"
74024,"7010905500","80","015 l or more but not more than 033 l"
74025,"7010905700","80","Less than 015 l"
74026,"7010906100","10","Other of a nominal capacity of"
74027,"7010906100","80","025 l or more"
74028,"7010906700","80","Less than 025 l"
74029,"7010907100","10","For pharmaceutical products of a nominal capacity"
74031,"7010907100","80","Exceeding 0055 l"
74033,"7010907900","80","Not exceeding 0055 l"
74032,"7010909100","10","For other products"
74034,"7010909100","80","Of colourless glass"
74552,"7010909900","80","Of coloured glass"
44554,"7011000000","80","Glass envelopes (including bulbs and tubes) open and glass parts thereof without fittings for electric lamps cathode ray tubes or the like"
44555,"7011100000","80","For electric lighting"
44558,"7011200000","80","For cathode ray tubes"
44567,"7011900000","80","Other"
44571,"7013000000","80","Glassware of a kind used for table kitchen toilet office indoor decoration or similar purposes (other than that of heading 7010 or 7018)"
44572,"7013100000","80","Of glass ceramics"
86451,"7013220000","10","Stemware drinking glasses other than of glass ceramics"
86453,"7013220000","80","Of lead crystal"
86454,"7013221000","80","Gathered by hand"
86455,"7013229000","80","Gathered mechanically"
86456,"7013280000","80","Other"
86457,"7013281000","80","Gathered by hand"
86458,"7013289000","80","Gathered mechanically"
86452,"7013330000","10","Other drinking glasses other than of glass ceramics"
86459,"7013330000","80","Of lead crystal"
86460,"7013331100","10","Gathered by hand"
86461,"7013331100","80","Cut or otherwise decorated"
86462,"7013331900","80","Other"
86463,"7013339100","10","Gathered mechanically"
86464,"7013339100","80","Cut or otherwise decorated"
86465,"7013339900","80","Other"
86466,"7013370000","80","Other"
86467,"7013371000","80","Of toughened glass"
86468,"7013375100","10","Other"
86469,"7013375100","20","Gathered by hand"
86470,"7013375100","80","Cut or otherwise decorated"
86471,"7013375900","80","Other"
86472,"7013379100","10","Gathered mechanically"
86473,"7013379100","80","Cut or otherwise decorated"
86474,"7013379900","80","Other"
88032,"7013410000","10","Glassware of a kind used for table (other than drinking glasses) or kitchen purposes other than of glass ceramics"
86475,"7013410000","80","Of lead crystal"
86476,"7013411000","80","Gathered by hand"
86477,"7013419000","80","Gathered mechanically"
86478,"7013420000","80","Of glass having a linear coefficient of expansion not exceeding 5 !x! 10$-$6 per Kelvin within a temperature range of 0 °C to 300 °C"
86479,"7013490000","80","Other"
86480,"7013491000","80","Of toughened glass"
86482,"7013499100","10","Other"
86483,"7013499100","80","Gathered by hand"
86484,"7013499900","80","Gathered mechanically"
44600,"7013910000","10","Other glassware"
44601,"7013910000","80","Of lead crystal"
44602,"7013911000","80","Gathered by hand"
44603,"7013919000","80","Gathered mechanically"
44604,"7013990000","80","Other"
70217,"7013990010","80","Gathered by hand"
81136,"7013990090","80","Other"
44607,"7014000000","80","Signalling glassware and optical elements of glass (other than those of heading 7015) not optically worked"
67152,"7014000010","80","Optical elements of glass (other than those of heading 7015) not optically worked other than signalling glassware"
67153,"7014000090","80","Other"
44608,"7015000000","80","Clock or watch glasses and similar glasses glasses for non-corrective or corrective spectacles curved bent hollowed or the like not optically worked; hollow glass spheres and their segments for the manufacture of such glasses"
44609,"7015100000","80","Glasses for corrective spectacles"
44610,"7015900000","80","Other"
44611,"7016000000","80","Paving blocks slabs bricks squares tiles and other articles of pressed or moulded glass whether or not wired of a kind used for building or construction purposes; glass cubes and other glass smallwares whether or not on a backing for mosaics or similar decorative purposes; leaded lights and the like; multicellular or foam glass in blocks panels plates shells or similar forms"
44612,"7016100000","80","Glass cubes and other glass smallwares whether or not on a backing for mosaics or similar decorative purposes"
44613,"7016900000","80","Other"
44614,"7016901000","80","Leaded lights and the like"
90326,"7016904000","80","Blocks and bricks of a kind used for building or construction purposes"
90327,"7016907000","80","Other"
44617,"7017000000","80","Laboratory hygienic or pharmaceutical glassware whether or not graduated or calibrated"
44618,"7017100000","80","Of fused quartz or other fused silica"
44619,"7017200000","80","Of other glass having a linear coefficient of expansion not exceeding 5 !x! 10$-$6 per Kelvin within a temperature range of 0 °C to 300 °C"
44620,"7017900000","80","Other"
44621,"7018000000","80","Glass beads imitation pearls imitation precious or semi-precious stones and similar glass smallwares and articles thereof other than imitation jewellery; glass eyes other than prosthetic articles; statuettes and other ornaments of lamp-worked glass other than imitation jewellery; glass microspheres not exceeding 1 mm in diameter"
44622,"7018100000","80","Glass beads imitation pearls imitation precious or semi-precious stones and similar glass smallwares"
44623,"7018101100","10","Glass beads"
44624,"7018101100","80","Cut and mechanically polished"
44625,"7018101900","80","Other"
69561,"7018101910","80","hand-made"
69562,"7018101990","80","Other"
44626,"7018103000","80","Imitation pearls"
44627,"7018105100","10","Imitation precious or semi-precious stones"
44628,"7018105100","80","Cut and mechanically polished"
44629,"7018105900","80","Other"
44630,"7018109000","80","Other"
44631,"7018200000","80","Glass microspheres not exceeding 1 mm in diameter"
44632,"7018900000","80","Other"
44633,"7018901000","80","Glass eyes; articles of glass smallware"
44634,"7018909000","80","Other"
44635,"7019000000","80","Glass fibres (including glass wool) and articles thereof (for example yarn woven fabrics)"
60018,"7019110000","10","Slivers rovings yarn and chopped strands"
60019,"7019110000","80","Chopped strands of a length of not more than 50 mm"
60020,"7019120000","80","Rovings"
104529,"7019120002","10","Rovings which are impregnated and coated and with a loss on ignition of 3% or more (as determined by the ISO Standard 1887)"
93041,"7019120002","80","Rovings measuring 650 tex or more but not more than 2 500 tex coated with a layer of polyurethane whether or not mixed with other materials"
96915,"7019120005","80","Rovings ranging from 1 980 to 2 033 tex composed of continuous glass filaments of 9 μm (± 05 µm)"
103743,"7019120006","80","S glass stratifils: - composed of continuous glass filaments of 9 µm (±05 µm) - measuring 200 tex or more but not more than 680 tex - not containing any calcium oxide and - with a breaking strength of more than 3 550 Mpa determined by ASTM D2343-09 for use in the manufacture of aeronautics "
93044,"7019120019","80","Other"
104530,"7019120022","10","Other"
93047,"7019120022","80","Rovings measuring 650 tex or more but not more than 2 500 tex coated with a layer of polyurethane whether or not mixed with other materials"
96916,"7019120025","80","Rovings ranging from 1 980 to 2 033 tex composed of continuous glass filaments of 9 μm (± 05 µm)"
103744,"7019120026","80","S glass stratifils: - composed of continuous glass filaments of 9 µm (±05 µm) - measuring 200 tex or more but not more than 680 tex - not containing any calcium oxide and - with a breaking strength of more than 3 550 Mpa determined by ASTM D2343-09 for use in the manufacture of aeronautics "
93050,"7019120039","80","Other"
60021,"7019190000","80","Other"
60022,"7019191000","80","Of filaments"
93730,"7019191010","80","Yarn of 33 tex or a multiple thereof (± 75 %) obtained from continuous spun-glass filaments of a nominal diameter of 35 µm or of 45 µm in which filaments of a diameter of 3 µm or more but not more than 52 µm predominate other than those treated so as to improve their adhesion to elastomers"
96912,"7019191015","80","S-glass yarn of 33 tex or a multiple of 33 tex (± 13%) made from continuous spun-glass filaments with fibres of a diameter of 9 µm (- 1 µm / + 15 µm)"
93587,"7019191020","80","Yarn of 103 tex or more but not more than 119 tex obtained from continuous spun-glass filaments in which filaments of a diameter of 4.83 μm or more but not more than 5.83 μm predominate"
93588,"7019191025","80","Yarn of 5.1 tex or more but not more than 6.0 tex obtained from continuous glass-spun filaments in which filaments of a diameter of 4.83 µm or more but not more than 5.83 µm predominate"
93731,"7019191030","80","Yarn of E-glass of 22 tex (± 16 tex) obtained from continuous spun-glass filaments of a nominal diameter of 7 µm in which filaments of a diameter of 635 µm or more but not more than 761 µm predominate"
93862,"7019191050","80","Yarn of 11 tex or a multiple thereof (± 75 %) obtained from continuous spun-glass filaments containing 93 percent by weight or more of silicon dioxide of a nominal diameter of 6 µm or 9 µm other than those treated"
93732,"7019191055","80","Glass cord impregnated with rubber or plastic obtained from K- or U-glass filaments made up of:   - 9 % or more but not more than 16 % of magnesium oxide   - 19 % or more but not more than 25 % of aluminium oxide   - 0 % or more but not more than 2 % of boron oxide   - without calcium oxide coated with a latex comprising at least a resorcinol- formaldehyde resin and chlorosulphonated polyethylene"
93733,"7019191060","80","High modulus glass cord (K) impregnated with rubber obtained from twisted high modulus glass filament yarns coated with a latex comprising a resorcinol-formaldehyde resin with or without vinylpyridine and/or hydrogenated acrylonitrile-butadiene rubber (HNBR)"
93734,"7019191070","80","Glass cord impregnated with rubber or plastic obtained from twisted glass filament yarns coated with a latex comprising at least a resorcinol-formaldehyde-vinylpyridine resin and an acrylonitrile-butadiene rubber (NBR)"
93736,"7019191090","80","Other"
60023,"7019199000","80","Of staple fibres"
44658,"7019310000","10","Thin sheets (voiles) webs mats mattresses boards and similar non-woven products"
44659,"7019310000","80","Mats"
98192,"7019310010","80","Of low moisture absorption capacity intended for certain types of aircraft"
98193,"7019310090","80","Other"
44663,"7019320000","80","Thin sheets (voiles)"
98022,"7019320010","80","Of low moisture absorption capacity intended for certain types of aircraft"
98023,"7019320090","80","Other"
44667,"7019390000","80","Other"
70988,"7019390020","80","Boards and similar non-woven products of low moisture absorption capacity intended for certain types of aircraft"
86843,"7019390050","80","Non-woven product of non-textile glass fibre for the manufacture of air filters or catalysts"
104694,"7019390080","10","Other"
104690,"7019390080","80","Fabrics of stitched continuous filament glass fibre rovings or yarns excluding products which are impregnated or pre-impregnated (pre-preg)"
104698,"7019390085","80","Other"
60024,"7019400000","80","Woven fabrics of rovings"
98246,"7019400011","10","Woven fabrics of rovings impregnated with epoxy resin with a coefficient of thermal expansion between 30°C and 120°C (measured according to IPC-TM-650) of:   - 10ppm per°C or more but not more than 12ppm per°C in the length and width and   - 20ppm per°C or more but not more than 30ppm per°C in the thickness with a glass transition temperature of 152°C or more but not more than 153°C (measured according IPC-TM-650) "
98238,"7019400011","80","Open mesh fabrics of glass fibres of a cell size of more than 1.8 mm both in length and in width and weighting more than 35 g/m² excluding fibreglass discs"
98239,"7019400019","80","Other"
98247,"7019400021","10","Prepreg sheets or rolls containing polyimide resin"
98241,"7019400021","80","Open mesh fabrics of glass fibres of a cell size of more than 18 mm both in length and in width and weighing more than 35 g/m² excluding fibreglass discs"
98242,"7019400029","80","Other"
98243,"7019400050","10","Other"
98244,"7019400050","80","Open mesh fabrics of glass fibres of a cell size of more than 18 mm both in length and in width and weighing more than 35 g/m² excluding fibreglass discs"
103815,"7019400070","80","E-fibre glass fabrics: - having a weight of 20 g/m² or more but not more than 214 g/m² - impregnated with silane - in rolls - having a humidity content by weight of 013 % or less and - having not more than 3 hollow fibres out of 100 000 fibres for the exclusive use in the manufacture of prepregs and copper clad laminates"
104695,"7019400080","10","Other"
104692,"7019400080","80","Fabrics of continuous filament glass fibre rovings whether or not stitched excluding products which are impregnated or pre-impregnated (pre-preg)"
104699,"7019400085","80","Other"
60025,"7019510000","10","Other woven fabrics"
60026,"7019510000","80","Of a width not exceeding 30 cm"
95332,"7019510011","10","Open mesh fabrics of glass fibres of a cell size of more than 1.8 mm both in length and in width and weighting more than 35 g/m² excluding fibreglass discs"
94849,"7019510011","80","Consigned from Malaysia"
96622,"7019510012","80","Consigned from Taiwan"
96623,"7019510013","80","Consigned from Thailand"
97785,"7019510014","80","Consigned from India"
97787,"7019510015","80","Consigned from Indonesia"
95335,"7019510019","80","Other"
93531,"7019510090","80","Other"
60029,"7019520000","80","Of a width exceeding 30 cm plain weave weighing less than 250 g/m$2 of filaments measuring per single yarn not more than 136 tex"
81367,"7019520010","80","Glass web woven from glass fibre coated in plastic of a weight of 120 g/m$2 (± 10 g/m$2) of a type used in rolling insect screens with fixed frames"
103886,"7019520030","80","E-fibre glass fabrics: -having a weight of 20 g/m² or more but not more than 214 g/m² -impregnated with silane -in rolls -having a humidity content by weight of 013 % or less and -having not more than 3 hollow fibres out of 100 000 fibresfor the exclusive use in the manufacture of prepregs and copper clad laminates"
104616,"7019520040","80","Epoxy resin coated glass woven fabric containing by weight: -91 % or more but not more than 93 % of glass fibres -7 % or more but not more than 9 % of epoxy resin "
81366,"7019520090","80","Other"
60030,"7019590000","80","Other"
95337,"7019590011","10","Open mesh fabrics of glass fibres of a cell size of more than 1.8 mm both in length and in width and weighting more than 35 g/m² excluding fibreglass discs"
95334,"7019590011","80","Consigned from Malaysia"
96625,"7019590012","80","Consigned from Taiwan"
96624,"7019590013","80","Consigned from Thailand"
97786,"7019590014","80","Consigned from India"
97788,"7019590015","80","Consigned from Indonesia"
95336,"7019590019","80","Other"
104696,"7019590080","10","Other"
104693,"7019590080","80","Fabrics of continuous filament glass fibre rovings or yarns whether or not stitched excluding products which are impregnated or pre-impregnated (pre-preg)"
104700,"7019590085","80","Other"
44679,"7019900000","80","Other"
95790,"7019900010","80","Non-textile glass fibres in which fibres of a diameter of less than 46 µm predominate"
95792,"7019900020","80","Glass cord impregnated with rubber or plastic obtained from twisted glass filament yarns coated with a latex comprising at least a resorcinol-formaldehyde-vinylpyridine resin and an acrylonitrile-butadiene rubber (NBR)"
95793,"7019900030","80","High modulus glass cord (K) impregnated with rubber obtained from twisted high modulus glass filament yarns coated with a latex comprising a resorcinol-formaldehyde resin with or without vinylpyridine and/or hydrogenated acrylonitrile-butadiene rubber (HNBR)"
104697,"7019900080","10","Other"
104691,"7019900080","80","Fabrics of stitched continuous filament glass fibre rovings or yarns excluding products which are impregnated or pre-impregnated (pre-preg)"
104701,"7019900085","80","Other"
44690,"7020000000","80","Other articles of glass"
68742,"7020000500","80","Quartz reactor tubes and holders designed for insertion into diffusion and oxidation furnaces for production of semiconductor materials"
86444,"7020000700","10","Glass inners for vacuum flasks or for other vacuum vessels"
86445,"7020000700","80","Unfinished"
86446,"7020000800","80","Finished"
68746,"7020001000","10","Other"
44691,"7020001000","80","Of fused quartz or other fused silica"
97560,"7020001010","80","Television pedestal stands with or without bracket for fixation to and stabilization of television cabinet case/body"
103590,"7020001020","80","Raw material for optical elements of fused silicon dioxide with: - a thickness of 10 cm or more but not more than 40 cm and - a weight of 100 kg or more "
97561,"7020001090","80","Other"
44692,"7020003000","80","Of glass having a linear coefficient of expansion not exceeding 5 !x! 10$-$6 per Kelvin within a temperature range of 0 °C to 300 °C"
68744,"7020008000","80","Other"
44694,"7100000000","80","NATURAL OR CULTURED PEARLS PRECIOUS OR SEMI-PRECIOUS STONES PRECIOUS METALS METALS CLAD WITH PRECIOUS METAL AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN"
44695,"7101000000","10","I. NATURAL OR CULTURED PEARLS AND PRECIOUS OR SEMI-PRECIOUS STONES"
44696,"7101000000","80","Pearls natural or cultured whether or not worked or graded but not strung mounted or set; pearls natural or cultured temporarily strung for convenience of transport"
44697,"7101100000","80","Natural pearls"
44698,"7101210000","10","Cultured pearls"
44699,"7101210000","80","Unworked"
44700,"7101220000","80","Worked"
44701,"7102000000","80","Diamonds whether or not worked but not mounted or set"
44702,"7102100000","80","Unsorted"
44703,"7102210000","10","Industrial"
44704,"7102210000","80","Unworked or simply sawn cleaved or bruted"
44705,"7102290000","80","Other"
44706,"7102310000","10","Non-industrial"
44707,"7102310000","80","Unworked or simply sawn cleaved or bruted"
44708,"7102390000","80","Other"
44709,"7103000000","80","Precious stones (other than diamonds) and semi-precious stones whether or not worked or graded but not strung mounted or set; ungraded precious stones (other than diamonds) and semi-precious stones temporarily strung for convenience of transport"
44710,"7103100000","80","Unworked or simply sawn or roughly shaped"
44711,"7103910000","10","Otherwise worked"
44712,"7103910000","80","Rubies sapphires and emeralds"
44713,"7103990000","80","Other"
44714,"7104000000","80","Synthetic or reconstructed precious or semi-precious stones whether or not worked or graded but not strung mounted or set; ungraded synthetic or reconstructed precious or semi-precious stones temporarily strung for convenience of transport"
44715,"7104100000","80","Piezoelectric quartz"
44716,"7104200000","80","Other unworked or simply sawn or roughly shaped"
105048,"7104201000","80","Diamonds"
105049,"7104209000","80","Other"
44717,"7104900000","80","Other"
105050,"7104901000","80","Diamonds"
105051,"7104909000","80","Other"
44718,"7105000000","80","Dust and powder of natural or synthetic precious or semi-precious stones"
44719,"7105100000","80","Of diamonds"
44720,"7105900000","80","Other"
44721,"7106000000","10","II. PRECIOUS METALS AND METALS CLAD WITH PRECIOUS METAL"
44722,"7106000000","80","Silver (including silver plated with gold or platinum) unwrought or in semi-manufactured forms or in powder form"
44723,"7106100000","80","Powder"
44724,"7106910000","10","Other"
44725,"7106910000","80","Unwrought"
44728,"7106920000","80","Semi-manufactured"
44733,"7107000000","80","Base metals clad with silver not further worked than semi-manufactured"
44734,"7108000000","80","Gold (including gold plated with platinum) unwrought or in semi-manufactured forms or in powder form"
44735,"7108110000","10","Non-monetary"
44736,"7108110000","80","Powder"
44737,"7108120000","80","Other unwrought forms"
44738,"7108130000","80","Other semi-manufactured forms"
44739,"7108131000","80","Bars rods wire and sections; plates; sheets and strips of a thickness excluding any backing exceeding 015 mm"
70993,"7108138000","80","Other"
44743,"7108200000","80","Monetary"
44744,"7109000000","80","Base metals or silver clad with gold not further worked than semi-manufactured"
44745,"7110000000","80","Platinum unwrought or in semi-manufactured forms or in powder form"
44746,"7110110000","10","Platinum"
44747,"7110110000","80","Unwrought or in powder form"
44748,"7110190000","80","Other"
44749,"7110191000","80","Bars rods wire and sections; plates; sheets and strips of a thickness excluding any backing exceeding 015 mm"
70994,"7110198000","80","Other"
44753,"7110210000","10","Palladium"
44754,"7110210000","80","Unwrought or in powder form"
44755,"7110290000","80","Other"
44756,"7110310000","10","Rhodium"
44757,"7110310000","80","Unwrought or in powder form"
44758,"7110390000","80","Other"
44759,"7110410000","10","Iridium osmium and ruthenium"
44760,"7110410000","80","Unwrought or in powder form"
44761,"7110490000","80","Other"
44762,"7111000000","80","Base metals silver or gold clad with platinum not further worked than semi-manufactured"
44763,"7112000000","80","Waste and scrap of precious metal or of metal clad with precious metal; other waste and scrap containing precious metal or precious-metal compounds of a kind used principally for the recovery of precious metal"
74036,"7112300000","80","Ash containing precious metal or precious-metal compounds"
74037,"7112910000","10","Other"
74038,"7112910000","80","Of gold including metal clad with gold but excluding sweepings containing other precious metals"
74039,"7112920000","80","Of platinum including metal clad with platinum but excluding sweepings containing other precious metals"
74040,"7112990000","80","Other"
44767,"7113000000","10","III. JEWELLERY GOLDSMITHS' AND SILVERSMITHS' WARES AND OTHER ARTICLES"
44768,"7113000000","80","Articles of jewellery and parts thereof of precious metal or of metal clad with precious metal"
44769,"7113110000","10","Of precious metal whether or not plated or clad with precious metal"
44770,"7113110000","80","Of silver whether or not plated or clad with other precious metal"
44771,"7113190000","80","Of other precious metal whether or not plated or clad with precious metal"
44772,"7113200000","80","Of base metal clad with precious metal"
44773,"7114000000","80","Articles of goldsmiths' or silversmiths' wares and parts thereof of precious metal or of metal clad with precious metal"
44774,"7114110000","10","Of precious metal whether or not plated or clad with precious metal"
44775,"7114110000","80","Of silver whether or not plated or clad with other precious metal"
44776,"7114190000","80","Of other precious metal whether or not plated or clad with precious metal"
44777,"7114200000","80","Of base metal clad with precious metal"
44778,"7115000000","80","Other articles of precious metal or of metal clad with precious metal"
44779,"7115100000","80","Catalysts in the form of wire cloth or grill of platinum"
44780,"7115900000","80","Other"
44783,"7116000000","80","Articles of natural or cultured pearls precious or semi-precious stones (natural synthetic or reconstructed)"
44784,"7116100000","80","Of natural or cultured pearls"
44785,"7116200000","80","Of precious or semi-precious stones (natural synthetic or reconstructed)"
44787,"7116201100","80","Necklaces bracelets and other articles made wholly of natural precious or semi-precious stones simply strung without fasteners or other accessories"
93079,"7116208000","80","Other"
44790,"7117000000","80","Imitation jewellery"
44791,"7117110000","10","Of base metal whether or not plated with precious metal"
44792,"7117110000","80","Cuff links and studs"
44793,"7117190000","80","Other"
93080,"7117190010","80","Without parts of glass hand-made"
93081,"7117190090","80","Other"
44798,"7117900000","80","Other"
44801,"7118000000","80","Coin"
44802,"7118100000","80","Coin (other than gold coin) not being legal tender"
44805,"7118900000","80","Other"
44810,"7200000000","80","IRON AND STEEL"
44811,"7201000000","10","I. PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR POWDER FORM"
44812,"7201000000","80","Pig iron and spiegeleisen in pigs blocks or other primary forms"
44813,"7201100000","80","Non-alloy pig iron containing by weight 05 % or less of phosphorus"
44814,"7201101100","10","Containing by weight not less than 04 % of manganese"
44815,"7201101100","80","Containing by weight 1 % or less of silicon"
86537,"7201101110","80","Pig iron ingots with a length of not more than 350 mm a width of not more than 150 mm a height of not more than 150 mm"
86538,"7201101190","80","Other"
44816,"7201101900","80","Containing by weight more than 1 % of silicon"
44817,"7201103000","80","Containing by weight not less than 01 % but less than 04 % of manganese"
86539,"7201103010","80","Pig iron ingots with a length of not more than 350 mm a width of not more than 150 mm a height of not more than 150 mm containing by weight not more than 1 % of silicon"
