goods_nomenclature_sid,goods_nomenclature_item_id,productline_suffix,description
47137,"8000000000","80","TIN AND ARTICLES THEREOF"
47138,"8001000000","80","Unwrought tin"
47139,"8001100000","80","Tin not alloyed"
47140,"8001200000","80","Tin alloys"
47141,"8002000000","80","Tin waste and scrap"
47142,"8003000000","80","Tin bars rods profiles and wire"
47148,"8007000000","80","Other articles of tin"
86993,"8007001000","80","Plates sheets and strip of a thickness exceeding 02 mm"
93110,"8007008000","80","Other"
47149,"8100000000","80","OTHER BASE METALS; CERMETS; ARTICLES THEREOF"
47150,"8101000000","80","Tungsten (wolfram) and articles thereof including waste and scrap"
47151,"8101100000","80","Powders"
74044,"8101940000","10","Other"
74045,"8101940000","80","Unwrought tungsten including bars and rods obtained simply by sintering"
74047,"8101960000","80","Wire"
99587,"8101960010","80","Tungsten wire containing by weight 99 % or more of tungsten with: - a maximum cross-sectional dimension of not more than 50 µm - a resistance of 40 Ohm or more but not more than 300 Ohm at length of 1 metre"
103612,"8101960020","80","Tungsten wire - containing by weight 9995 % or more of tungsten and - with a maximum cross-sectional dimension of not more than 102 mm "
99586,"8101960090","80","Other"
74048,"8101970000","80","Waste and scrap"
47158,"8101990000","80","Other"
87006,"8101991000","80","Bars and rods other than those obtained simply by sintering profiles plates sheets strip and foil"
105129,"8101991011","10","Tungsten bars and rods for welding electrodes containing 94 % or more by weight of tungsten whether or not cut to length"
105135,"8101991011","80","Consigned from Laos"
105131,"8101991012","80","Consigned from Thailand"
105132,"8101991013","80","Consigned from India"
105134,"8101991020","80","Other"
87009,"8101991090","80","Other"
87011,"8101999000","80","Other"
47161,"8102000000","80","Molybdenum and articles thereof including waste and scrap"
47162,"8102100000","80","Powders"
96917,"8102100010","80","Molybdenum powder with   - a purity by weight of 99 % or more and   - a particle size of 10 µm or more but not more than 50 µm "
96918,"8102100090","80","Other"
74050,"8102940000","10","Other"
74051,"8102940000","80","Unwrought molybdenum including bars and rods obtained simply by sintering"
74052,"8102950000","80","Bars and rods other than those obtained simply by sintering profiles plates sheets strip and foil"
74053,"8102960000","80","Wire"
93764,"8102960011","10","Molybdenum wire containing by weight at least 9995 % of molybdenum of which the maximum cross-sectional dimension exceeds 135 mm but does not exceed 40 mm"
93763,"8102960011","80","Consigned from Malaysia"
93765,"8102960019","80","Other"
99278,"8102960020","80","Molybdenum wire containing by weight at least 9995 % of molybdenum of which the maximum cross-sectional dimension exceeds 40 mm but does not exceed 110 mm"
97320,"8102960030","80","Molybdenum wire containing by weight 97 % or more but less than 9995 % of molybdenum of which the maximum cross-sectional dimension exceeds 135 mm but does not exceed 40 mm"
99279,"8102960040","80","Molybdenum wire containing by weight 97 % or more but less than 9995 % of molybdenum of which the maximum cross-sectional dimension exceeds 40 mm but does not exceed 110 mm"
99280,"8102960098","80","Other"
74054,"8102970000","80","Waste and scrap"
47169,"8102990000","80","Other"
47170,"8103000000","80","Tantalum and articles thereof including waste and scrap"
